Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
0a1b1e13-827a-3dfd-bfc1-d3d87855d746,0b8339ab-4ea4-39cb-89f8-bded4ddc7bff,Sylvester827 Pagac496,M,GENERAL PRACTICE,500 WEST HOSPITAL ROAD  SUITE A,FRENCH CAMP,CA,952319693,37.886327,-121.28297548125127,31,0
60dda417-556a-3368-b88e-7e1ab319180b,bf5c8080-2932-33cd-a909-544a6cf35968,Harvey63 Lehner980,M,GENERAL PRACTICE,26520 CACTUS AVE,MORENO VALLEY,CA,925553927,33.9119259,-117.19637878783084,8,0
33de7c4b-ed4d-3201-92be-cd86bf48a366,4540ecfc-9ac2-39e0-a54a-8c6f281c83e7,Irma773 Treutel973,F,GENERAL PRACTICE,11100 WARNER AVE,FOUNTAIN VALLEY,CA,927087511,33.715711299999995,-117.9358160462603,29,0
cb79c784-6ec3-335f-a80b-8a2c966cae22,95e87823-4b8c-3053-8bd8-1d5cb1b66693,Hiram237 Mante251,M,GENERAL PRACTICE,3755 BEACON AVE,FREMONT,CA,945381411,37.5482633,-121.98275783926128,15,0
5afb24b1-f69c-32bf-a254-9affe07e40a7,165b6ac2-0973-39e8-834c-2294793473ea,Lynnette27 Harvey63,F,GENERAL PRACTICE,3800 KILROY AIRPORT WAY,LONG BEACH,CA,908066818,33.8072155,-118.1445534,29,0
38e38164-9f4b-3d86-941d-74618a0f9b7c,7ad569f9-d40f-367e-a0dc-9cd65ec0b010,Maple925 Hyatt152,F,GENERAL PRACTICE,1838 EL CAMINO REAL,BURLINGAME,CA,940103105,37.5857143,-122.3689209,20,0
56527106-e962-3446-b354-e47eb7d045e9,c0c76cf5-cb44-33cf-9897-dc9cdd38991c,Odessa199 Hintz995,F,GENERAL PRACTICE,2100 NAPA VALLEJO HIGHWAY,NAPA,CA,945586234,38.2795246,-122.2998321,6,0
6bfe8c29-03dd-33b4-b028-d104e17eec62,6e2d7cdb-1abc-30ac-807a-c7fb14733a29,Diana207 Pelayo88,F,GENERAL PRACTICE,27200 CALAROGA AVE,HAYWARD,CA,945454339,37.63320025,-122.08790356843016,6,0
8eb5bed2-9ec1-3d0d-8700-11fffd490334,a5e9d63d-9eef-3426-aacd-8391a5ddaee4,Mariano761 Tórrez28,M,GENERAL PRACTICE,1900 SULLIVAN AVE,MOSS BEACH,CA,940389641,37.52011950000001,-122.5096690223618,4,0
d3e524d0-3d59-360f-9181-2106fc76479c,277ee93e-4993-3aa9-abae-f312abff52be,Ethan766 Witting912,M,GENERAL PRACTICE,2001 SANTA MONICA BLVD,SANTA MONICA,CA,904042194,34.0290917,-118.47996704613743,32,0
